postal_code,country code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
N5A,CA,Stratford North,Ontario,ON,,,,,43.3668,-80.9497,4.0
N4Z,CA,Stratford South,Ontario,ON,,,,,43.3634,-81.0069,5.0
N0K,CA,Perth (Mitchell),Ontario,ON,,,,,43.5067,-81.1582,6.0
N0B,CA,Wellington (Elora),Ontario,ON,,,,,43.5569,-80.4414,6.0
N3A,CA,Baden,Ontario,ON,,,,,43.4001,-80.6497,4.0
N0J,CA,Oxford (Norwich),Ontario,ON,,,,,42.9775,-80.7057,5.0
N4X,CA,St. Mary's,Ontario,ON,,,,,43.2655,-81.1687,1.0
N6A,CA,London North (UWO),Ontario,ON,London,,,,42.9976,-81.2563,6.0
N4S,CA,Woodstock Central,Ontario,ON,Woodstock,,,,43.1432,-80.7338,1.0
N0M,CA,Middlesex (Clinton),Ontario,ON,,,,,43.2788,-81.5442,6.0
N2J,CA,Waterloo Southeast,Ontario,ON,Waterloo,,,,43.504,-80.5366,1.0
N4T,CA,Woodstock North,Ontario,ON,Woodstock,,,,43.1485,-80.7319,4.0
N5C,CA,Ingersoll,Ontario,ON,,,,,43.0334,-80.883,4.0
N0G,CA,Huron (Wingham),Ontario,ON,,,,,44.0024,-81.0676,6.0
N4V,CA,Woodstock South,Ontario,ON,Woodstock,,,,43.115,-80.743,1.0
N6B,CA,London Central,Ontario,ON,London,,,,42.9835,-81.2386,6.0
N5Y,CA,London (West Huron Heights / Carling),Ontario,ON,London,,,,43.0123,-81.2307,1.0
N2V,CA,Waterloo Northwest,Ontario,ON,Waterloo,,,,43.4764,-80.5842,1.0
N2T,CA,Waterloo Southwest,Ontario,ON,Waterloo,,,,43.453,-80.5692,1.0
N2N,CA,Kitchener West,Ontario,ON,Kitchener,,,,43.426,-80.5438,1.0
N2E,CA,Kitchener Southwest,Ontario,ON,Kitchener,,,,43.4106,-80.5011,1.0
N2G,CA,Kitchener Central,Ontario,ON,Kitchener,,,,43.4443,-80.4891,1.0
